Equipment ID,PD Average,PD Count,Temperature,Humidity,Loading
4014,93.07,17,25.7,80.6,3
4013,97.72,10,25.7,80.6,3
4012,91.18,20,25.7,80.6,2
4010,102.83,23,25.7,80.6,3
4011,96.36,10,25.7,80.6,2
4009,228.33,3,25.7,80.6,3
4008,123.98,3,25.7,80.6,3
4006,162.53,1,25.7,80.6,5
4007,120.79,6,25.7,80.6,3
4005,124.03,3,25.7,80.6,5
4004,90.06,23,25.7,80.6,3
4003,159.05,6,25.7,80.6,3
3996,170.44,2,27.4,63.9,150
8605,105.05,8,27.4,63.9,50
3995,157.19,3,27.4,63.9,950
8604,161.45,5,27.4,63.9,150
3994,141.07,4,27.4,63.9,900
8603,225.54,14,27.4,63.9,950
3993,91.88,22,24.7,50.6,5
8602,303.78,5,27.4,63.9,900
3992,91.08,1,24.7,50.6,5
3991,85.74,16,24.7,50.6,20
3990,115.07,3,24.7,50.6,20
3989,84.98,8,24.7,50.6,3
3988,91.72,3,24.7,50.6,3
3987,35.61,7,24.7,50.6,8
8614,106.87,9,24.7,50.6,8
3986,91.38,1,24.7,50.6,8
3983,92.2,23,24.7,50.6,2
8612,121.53,11,24.7,50.6,2
3982,92.32,15,24.7,50.6,2
3981,86.52,14,24.7,50.6,2
3980,86.36,14,24.7,50.6,2
3979,86.36,8,24.7,50.6,2
3978,87.47,10,24.7,50.6,2
3977,86.12,14,24.7,50.6,3
3976,89.06,6,24.7,50.6,3
4034,100.56,13,25.7,80.6,15
8592,163.43,6,25.7,80.6,15
4033,115.34,16,25.7,80.6,15
4030,95.02,8,25.7,80.6,10
8590,90.55,10,25.7,80.6,10
4028,126.6,4,25.7,80.6,5
4029,101.86,5,25.7,80.6,10
4027,98.95,7,25.7,80.6,5
4026,105.79,5,25.7,80.6,2
4024,91.42,1,25.7,80.6,3
4025,97.71,15,25.7,80.6,2
4022,113.4,2,25.7,80.6,3
4023,106.45,6,25.7,80.6,3
4021,116.42,15,25.7,80.6,3
8646,321.38,3,29.3,66.1,12
8647,296.37,7,29.3,66.1,12
8648,278.7,4,29.3,66.1,10
8649,307.2,6,29.3,66.1,10
